python\paper,DESEC-main,DetectCodeGPT-main,agentless,bugspot,calibration,codebridge,context-craft,cosil,cr4llama,fastcoder,fgit,hf-question-answer-main,hyperion,longcodezip,omega,proalert,riolu,sound,test-smell,trustworthiness
DESEC-main,5,5,4,2,2,4,4,2,4,2,2,2,4,2,4,1,2,2,2,2
DetectCodeGPT-main,2,4,4,2,2,5,4,2,4,2,2,4,2,2,4,1,2,1,2,1
agentless,1,5,5,4,2,4,2,5,5,4,4,2,4,4,4,1,1,2,2,2
bugspot,1,1,1,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
calibration,2,4,1,2,5,2,1,1,4,1,1,5,1,1,2,1,1,2,1,2
codebridge,2,5,4,2,2,5,4,2,4,2,2,4,4,2,4,1,1,1,2,1
context-craft,2,5,4,1,2,5,5,4,4,4,2,2,2,2,4,1,2,2,2,2
cosil,2,4,5,5,2,5,4,5,4,4,2,5,2,2,4,2,2,2,2,2
cr4llama,1,5,1,1,1,4,4,1,5,1,4,1,4,1,1,1,1,1,1,1
fastcoder,2,5,4,1,2,5,4,2,5,4,2,1,4,2,4,1,1,1,1,2
fgit,2,5,4,2,2,5,4,2,5,2,5,4,4,2,4,2,2,2,2,2
hf-question-answer-main,1,1,1,2,1,2,1,1,2,1,1,4,1,1,2,1,2,1,1,1
hyperion,1,1,2,1,1,1,1,4,2,2,1,1,5,1,1,1,1,2,1,1
longcodezip,2,5,5,2,2,5,5,4,5,4,4,5,4,5,4,1,2,2,2,1
omega,2,4,4,2,2,2,4,2,4,2,2,2,2,2,5,1,1,1,1,1
proalert,1,2,2,2,2,1,2,4,2,2,1,1,2,2,2,4,2,2,1,2
riolu,2,2,1,2,2,1,1,1,2,2,2,1,2,1,1,2,5,2,1,2
sound,1,1,1,5,1,1,1,2,2,2,1,1,1,1,2,1,1,5,1,1
test-smell,1,2,2,2,1,2,4,2,4,2,2,2,1,2,2,1,1,2,5,1
trustworthiness,1,2,2,2,2,1,2,2,2,1,2,2,2,1,2,1,1,2,1,5
