python\paper,DESEC-main,DetectCodeGPT-main,agentless,bugspot,calibration,codebridge,context-craft,cosil,cr4llama,fastcoder,fgit,hf-question-answer-main,hyperion,longcodezip,omega,proalert,riolu,sound,test-smell,trustworthiness
DESEC-main,4,2,2,1,1,3,2,1,2,1,1,1,2,1,2,1,1,1,2,1
DetectCodeGPT-main,1,2,2,1,1,3,2,1,2,1,2,1,1,1,2,1,1,1,1,1
agentless,1,1,3,2,1,2,2,2,3,2,1,1,3,1,2,1,1,1,2,1
bugspot,1,1,2,3,1,2,2,2,1,1,1,1,3,1,1,1,1,1,1,1
calibration,2,1,1,1,5,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1
codebridge,1,2,2,1,1,3,2,1,2,1,1,1,2,1,1,1,1,1,1,1
context-craft,3,3,1,1,2,2,3,2,3,2,1,1,2,1,2,1,1,2,2,2
cosil,1,2,4,2,1,2,1,3,3,1,2,1,2,3,3,1,1,1,2,1
cr4llama,1,1,1,1,2,1,1,1,3,1,1,1,3,1,2,1,1,1,2,1
fastcoder,1,2,1,1,1,3,2,1,2,2,1,1,2,1,1,1,1,1,1,1
fgit,1,2,1,2,1,2,2,1,3,1,3,1,3,1,3,1,1,1,2,1
hf-question-answer-main,1,1,1,2,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1
hyperion,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,1
longcodezip,2,2,3,1,2,2,3,2,2,3,2,1,3,4,3,2,1,1,2,2
omega,1,2,2,1,2,2,2,2,2,2,2,1,1,1,5,1,1,1,2,1
proalert,1,1,1,1,1,1,2,3,1,1,1,1,2,1,1,4,2,3,1,1
riolu,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,3,2,1,1
sound,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
test-smell,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,5,1
trustworthiness,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5
