python\paper,DESEC-main,DetectCodeGPT-main,agentless,bugspot,calibration,codebridge,context-craft,cosil,cr4llama,fastcoder,fgit,hf-question-answer-main,hyperion,longcodezip,omega,proalert,riolu,sound,test-smell,trustworthiness
DESEC-main,5,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DetectCodeGPT-main,1,4,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
agentless,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
bugspot,1,1,2,5,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
calibration,2,2,1,1,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
codebridge,1,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
context-craft,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
cosil,1,1,5,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1
cr4llama,1,1,1,1,2,1,1,1,5,1,1,1,3,1,2,1,1,1,1,1
fastcoder,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1
fgit,1,1,2,1,1,1,1,1,5,1,5,1,0,1,2,1,1,1,1,1
hf-question-answer-main,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
hyperion,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
longcodezip,1,2,2,1,1,1,3,1,1,2,1,1,1,5,1,1,1,1,1,1
omega,1,1,1,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1
proalert,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1
riolu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
sound,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,5,1,1
test-smell,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1
trustworthiness,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5
