python\paper,DESEC-main,DetectCodeGPT-main,agentless,bugspot,calibration,codebridge,context-craft,cosil,cr4llama,fastcoder,fgit,hf-question-answer-main,hyperion,longcodezip,omega,proalert,riolu,sound,test-smell,trustworthiness
DESEC-main,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DetectCodeGPT-main,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
agentless,2,2,4,2,3,2,2,2,3,3,2,3,2,3,2,3,2,2,3,2
bugspot,3,3,2,4,2,3,2,2,3,3,2,2,3,3,2,2,3,3,2,3
calibration,2,3,2,2,5,2,3,1,2,2,1,2,2,2,2,1,1,1,2,2
codebridge,1,2,1,1,1,4,1,1,1,1,1,2,2,1,1,1,1,1,1,1
context-craft,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1
cosil,1,1,5,1,1,1,2,2,1,1,1,2,1,2,1,1,1,1,2,1
cr4llama,2,2,2,1,2,2,1,2,4,1,2,2,3,1,2,1,2,2,2,2
fastcoder,2,2,2,1,2,2,2,1,3,4,2,1,2,1,1,2,1,1,2,1
fgit,1,1,2,1,1,1,1,1,3,1,4,1,2,1,1,1,1,1,1,1
hf-question-answer-main,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
hyperion,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
longcodezip,2,4,2,2,2,2,2,2,4,2,2,2,3,4,3,3,1,2,2,2
omega,1,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,1,1,2,1
proalert,1,2,2,1,2,1,2,1,1,2,1,2,2,2,1,4,1,1,1,1
riolu,1,2,2,2,1,1,3,2,2,1,1,2,2,2,1,1,5,2,2,2
sound,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
test-smell,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1
trustworthiness,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4
